roundIndex;contract_name;Name;Succ;Fail;Send Rate (TPS);Max Latency (s);Min Latency (s);Avg Latency (s);Throughput (TPS)
100;HotelRoomOrig;ReserveRelease;112;0;82.0;0.06;0.01;0.01;78.5
99;HotelRoomOrig;ReserveRelease;129;15;83.2;0.07;0.01;0.01;80.1
98;HotelRoomOrig;ReserveRelease;129;66;78.2;0.07;0.01;0.01;76.0
97;HotelRoomOrig;ReserveRelease;129;1;84.4;0.06;0.01;0.01;81.1
96;HotelRoomOrig;ReserveRelease;129;80;77.8;0.06;0.01;0.01;76.1
95;HotelRoomOrig;ReserveRelease;129;51;79.3;0.07;0.01;0.01;77.0
94;HotelRoomOrig;ReserveRelease;129;65;75.1;0.07;0.01;0.01;73.0
93;HotelRoomOrig;ReserveRelease;84;0;82.0;0.06;0.01;0.01;77.3
92;HotelRoomOrig;ReserveRelease;129;14;80.3;0.08;0.01;0.01;77.0
91;HotelRoomOrig;ReserveRelease;129;35;77.0;0.07;0.01;0.01;74.5
90;HotelRoomOrig;ReserveRelease;58;0;74.5;0.08;0.01;0.01;67.8
89;HotelRoomOrig;ReserveRelease;58;0;76.4;0.06;0.01;0.01;71.2
88;HotelRoomOrig;ReserveRelease;129;63;77.2;0.08;0.01;0.01;74.8
87;HotelRoomOrig;ReserveRelease;129;33;79.5;0.07;0.01;0.01;76.8
86;HotelRoomOrig;ReserveRelease;129;81;77.7;0.08;0.01;0.01;75.5
85;HotelRoomOrig;ReserveRelease;104;0;79.5;0.06;0.01;0.01;76.2
84;HotelRoomOrig;ReserveRelease;100;0;76.3;0.06;0.01;0.01;72.8
83;HotelRoomOrig;ReserveRelease;129;58;77.6;0.08;0.01;0.01;75.0
82;HotelRoomOrig;ReserveRelease;129;48;79.0;0.06;0.01;0.01;77.0
81;HotelRoomOrig;ReserveRelease;53;0;78.1;0.06;0.01;0.01;71.7
80;HotelRoomOrig;ReserveRelease;129;23;77.5;0.08;0.01;0.01;74.6
79;HotelRoomOrig;ReserveRelease;129;24;83.0;0.08;0.01;0.01;79.5
78;HotelRoomOrig;ReserveRelease;129;81;83.0;0.07;0.01;0.01;80.9
77;HotelRoomOrig;ReserveRelease;129;63;80.9;0.07;0.01;0.01;78.5
76;HotelRoomOrig;ReserveRelease;129;35;81.0;0.07;0.01;0.01;78.3
75;HotelRoomOrig;ReserveRelease;129;15;78.2;0.06;0.01;0.01;75.7
74;HotelRoomOrig;ReserveRelease;116;0;87.0;0.06;0.01;0.01;83.4
73;HotelRoomOrig;ReserveRelease;129;37;77.3;0.08;0.01;0.01;74.5
72;HotelRoomOrig;ReserveRelease;129;30;80.6;0.07;0.01;0.01;77.7
71;HotelRoomOrig;ReserveRelease;46;0;65.2;0.07;0.01;0.02;59.4
70;HotelRoomOrig;ReserveRelease;66;0;82.7;0.06;0.01;0.01;76.9
69;HotelRoomOrig;ReserveRelease;75;0;88.7;0.06;0.01;0.01;82.7
68;HotelRoomOrig;ReserveRelease;129;12;84.5;0.07;0.01;0.01;81.1
67;HotelRoomOrig;ReserveRelease;90;0;76.0;0.07;0.01;0.01;71.9
66;HotelRoomOrig;ReserveRelease;129;59;83.0;0.07;0.01;0.01;80.6
65;HotelRoomOrig;ReserveRelease;129;61;83.4;0.06;0.01;0.01;81.2
64;HotelRoomOrig;ReserveRelease;57;0;73.3;0.07;0.01;0.01;67.0
63;HotelRoomOrig;ReserveRelease;64;0;77.4;0.06;0.01;0.01;72.0
62;HotelRoomOrig;ReserveRelease;87;0;80.0;0.05;0.01;0.01;76.2
61;HotelRoomOrig;ReserveRelease;101;0;81.5;0.07;0.01;0.01;76.8
60;HotelRoomOrig;ReserveRelease;63;0;75.1;0.08;0.01;0.01;69.8
59;HotelRoomOrig;ReserveRelease;128;0;84.4;0.06;0.01;0.01;81.4
58;HotelRoomOrig;ReserveRelease;129;59;87.8;0.06;0.01;0.01;85.5
57;HotelRoomOrig;ReserveRelease;129;20;80.2;0.08;0.01;0.01;77.0
56;HotelRoomOrig;ReserveRelease;129;1;82.1;0.08;0.01;0.01;78.1
55;HotelRoomOrig;ReserveRelease;129;23;80.8;0.07;0.01;0.01;77.9
54;HotelRoomOrig;ReserveRelease;100;0;77.6;0.06;0.01;0.01;74.2
53;HotelRoomOrig;ReserveRelease;36;0;69.9;0.06;0.01;0.02;62.8
52;HotelRoomOrig;ReserveRelease;109;0;85.8;0.06;0.01;0.01;82.0
51;HotelRoomOrig;ReserveRelease;129;28;82.9;0.07;0.01;0.01;79.9
50;HotelRoomOrig;ReserveRelease;88;0;81.6;0.06;0.01;0.01;77.2
49;HotelRoomOrig;ReserveRelease;55;0;82.6;0.08;0.01;0.01;73.6
48;HotelRoomOrig;ReserveRelease;124;0;85.7;0.06;0.01;0.01;82.2
47;HotelRoomOrig;ReserveRelease;129;16;82.0;0.10;0.01;0.01;77.8
46;HotelRoomOrig;ReserveRelease;44;0;78.6;0.06;0.01;0.01;70.6
45;HotelRoomOrig;ReserveRelease;101;0;80.8;0.06;0.01;0.01;77.2
44;HotelRoomOrig;ReserveRelease;95;0;78.6;0.06;0.01;0.01;74.8
43;HotelRoomOrig;ReserveRelease;129;18;85.3;0.08;0.01;0.01;81.3
42;HotelRoomOrig;ReserveRelease;81;0;81.1;0.07;0.01;0.01;75.6
41;HotelRoomOrig;ReserveRelease;129;6;88.9;0.07;0.01;0.01;84.9
40;HotelRoomOrig;ReserveRelease;49;0;79.9;0.07;0.01;0.01;71.8
39;HotelRoomOrig;ReserveRelease;129;71;81.1;0.07;0.01;0.01;79.0
38;HotelRoomOrig;ReserveRelease;129;66;79.1;0.07;0.01;0.01;77.1
37;HotelRoomOrig;ReserveRelease;117;0;82.5;0.08;0.01;0.01;78.1
36;HotelRoomOrig;ReserveRelease;129;54;81.6;0.06;0.01;0.01;79.4
35;HotelRoomOrig;ReserveRelease;94;0;86.7;0.07;0.01;0.01;81.2
34;HotelRoomOrig;ReserveRelease;129;53;84.2;0.07;0.01;0.01;81.6
33;HotelRoomOrig;ReserveRelease;64;0;74.1;0.07;0.01;0.01;68.7
32;HotelRoomOrig;ReserveRelease;126;0;82.0;0.06;0.01;0.01;78.8
31;HotelRoomOrig;ReserveRelease;35;0;73.4;0.06;0.01;0.02;64.7
30;HotelRoomOrig;ReserveRelease;108;0;78.9;0.08;0.01;0.01;74.5
29;HotelRoomOrig;ReserveRelease;129;78;75.2;0.07;0.01;0.01;73.5
28;HotelRoomOrig;ReserveRelease;117;0;81.3;0.07;0.01;0.01;77.7
27;HotelRoomOrig;ReserveRelease;129;26;77.3;0.07;0.01;0.01;74.9
26;HotelRoomOrig;ReserveRelease;77;0;82.7;0.07;0.01;0.01;76.8
25;HotelRoomOrig;ReserveRelease;78;0;84.8;0.07;0.01;0.01;79.1
24;HotelRoomOrig;ReserveRelease;42;0;79.2;0.07;0.01;0.01;70.1
23;HotelRoomOrig;ReserveRelease;129;1;78.9;0.07;0.01;0.01;75.9
22;HotelRoomOrig;ReserveRelease;117;0;82.6;0.07;0.01;0.01;78.9
21;HotelRoomOrig;ReserveRelease;94;0;86.0;0.07;0.01;0.01;80.6
20;HotelRoomOrig;ReserveRelease;126;0;81.9;0.09;0.01;0.01;77.6
19;HotelRoomOrig;ReserveRelease;129;42;80.5;0.07;0.01;0.01;77.9
18;HotelRoomOrig;ReserveRelease;54;0;82.6;0.06;0.01;0.01;75.2
17;HotelRoomOrig;ReserveRelease;129;56;78.9;0.07;0.01;0.01;76.7
16;HotelRoomOrig;ReserveRelease;125;0;84.4;0.07;0.01;0.01;80.7
15;HotelRoomOrig;ReserveRelease;129;47;76.2;0.07;0.01;0.01;73.8
14;HotelRoomOrig;ReserveRelease;63;0;73.7;0.06;0.01;0.01;68.6
13;HotelRoomOrig;ReserveRelease;129;69;81.1;0.06;0.01;0.01;79.1
12;HotelRoomOrig;ReserveRelease;36;0;69.6;0.07;0.01;0.02;61.7
11;HotelRoomOrig;ReserveRelease;129;16;78.7;0.07;0.01;0.01;76.0
10;HotelRoomOrig;ReserveRelease;129;70;77.7;0.06;0.01;0.01;75.9
9;HotelRoomOrig;ReserveRelease;63;0;74.7;0.07;0.01;0.01;68.9
8;HotelRoomOrig;ReserveRelease;80;0;78.2;0.07;0.01;0.01;72.9
7;HotelRoomOrig;ReserveRelease;48;0;72.1;0.06;0.01;0.01;65.9
6;HotelRoomOrig;ReserveRelease;69;0;82.8;0.07;0.01;0.01;76.8
5;HotelRoomOrig;ReserveRelease;129;15;79.2;0.08;0.01;0.01;75.9
4;HotelRoomOrig;ReserveRelease;87;0;77.1;0.06;0.01;0.01;73.0
3;HotelRoomOrig;ReserveRelease;63;0;76.8;0.08;0.01;0.01;69.7
2;HotelRoomOrig;ReserveRelease;129;66;76.1;0.08;0.01;0.01;73.9
1;HotelRoomOrig;ReserveRelease;129;8;83.5;0.08;0.01;0.01;79.6
100;HotelRoomBug;ReserveRelease;112;0;83.5;0.07;0.01;0.01;79.6
99;HotelRoomBug;ReserveRelease;129;15;82.5;0.07;0.01;0.01;79.4
98;HotelRoomBug;ReserveRelease;129;66;82.2;0.08;0.01;0.01;79.5
97;HotelRoomBug;ReserveRelease;129;1;83.7;0.06;0.01;0.01;80.7
96;HotelRoomBug;ReserveRelease;129;80;78.3;0.08;0.01;0.01;76.2
95;HotelRoomBug;ReserveRelease;129;51;82.7;0.07;0.01;0.01;80.0
